"מספר סעיף","שם סעיף","הסבר","שם המשרד"
680503,"ארכיב ממוחשב","בתוכנית זו מתוקצב ביצוע סריקת הארכיבים בלשכות. על פי הערכה, קיימים כיום כ-10 מיליון תיקים אישיים במנהל האוכלוסין הכוללים כ-100 מליון מסמכים. במסגרת פרויקט הארכיב הממוחשב, ייסרקו כל המסמכים אל מערכת המרשם, וזאת במטרה לייעל את העבודה בלשכות ולשפר את השירות לאזרח. (רשות האוכלוסין, ההגירה ומעברי הגבול)","הפנים"
"6807","הרשות למאגר ביומטרי",,"הפנים"
680701,"מטה הרשות למאגר ביומטרי","בתוכנית זו מתוקצבות הוצאות השכר והתפעול של הרשות למאגר ביומטרי. (רשות האוכלוסין, ההגירה ומעברי הגבול)","הפנים"
"6808","ביקורת גבולות",,"הפנים"
680801,"מטה ייעודי","בתוכנית זו מתוקצבת היערכות הרשות לקליטת מערך ביקורת הגבולות לאחריותה. החל מסוף שנת 2010 צפויה רשות האוכלוסין, ההגירה ומעברי הגבול לקבל באופן הדרגתי את כלל סמכויות ביקורת הגבולות הנמצאות כיום ברשות המשטרה.
","הפנים"
2301,"תחום פעולה כללי מינהל ושירותים מרכזיים",,"הרווחה"
230112,"האגף למערכות מידע מיכון ואירגון","האגף אחראי על גיבוש מדיניות כוללת בנוגע לשימוש במערכות מידע בכלל מערכת הרווחה ועל אספקת שירותי מידע לתהליכי קבלת ההחלטות במשרד, בכל הדרגים.","הרווחה"
230126,"בית הספר המרכזי להכשרת עובדים בשירותים החברתיים","בית הספר המרכזי נועד להכשיר את כלל עובדי הרווחה לצורך מילוי תפקידם לפי חוק ועל פי מדיניות משרד הרווחה. בית הספר מפתח תוכניות לימודים הנוגעות לסוגיות חברתיות שונות וכן לאוכלוסיות במצוקה ונותן מענה לצרכים המקצועיים המתהווים של כלל עובדי המשרד בכל הדרגים.","הרווחה"
230132,"שירותי יעוץ לאזרח (שי״ל)","מטרת השירות היא להבטיח שלכל אזרח במדינה תהיה כתובת לקבלת מידע, ייעוץ, הכוונה וייצוג ביחסיו עם הרשויות הממלכתיות והציבוריות. השירות כולל מוקד מצוקה 118 שנועד לספק שירות מידע והכוון לציבור הרחב בתחומי מצוקה, חרום, רווחה ושירותים חברתיים במגזר הממשלתי, הציבורי ובמגזר השלישי, במשך 24 שעות ביממה, בכל ימות השנה. המוקד מונגש גם לאוכלוסיית החרשים וכבדי השמיעה.","הרווחה"
230133,"ועדות ערר","ועדות הערר, פועלות מתוקף חוק שירותי הסעד, התשי״ח-1958, ותפקידן הוא לבדוק ולקבוע האם פעלה המחלקה לשירותים חברתיים ברשות המקומית לפי כללי התע״ס (תקנון לעבודה סוציאלית) בהתייחסה לבקשת העורר. לוועדה סמכות לשנות את החלטות המחלקה לשירותים חברתיים. כיום פועלות 15 ועדות ערר.","הרווחה"
230134,"היחידה להתנדבות","היחידה מרכזת את נושא ההתנדבות באמצעות מרכזי המתנדבים המסייעים לגיוס, השמה, הדרכה, ותגמול מתנדבים, מהארץ ומחו״ל, בתחום הרווחה.","הרווחה"
230141,"קשרים בינלאומיים - המחלקה ליחסים בינלאומיים","המחלקה פועלת לקידום שיתוף הפעולה עם מדינות אחרות וארגונים בינלאומיים מקצועיים בתחום הרווחה, חילופי ידע והכשרה של אנשי מקצוע מהארץ בחו״ל, ואנשי מקצוע מחו״ל בארץ, ייצוג המשרד בפורומים בינלאומיים ובארגונים בינלאומיים בתחומי הרווחה, וכן העברת מידע בין השירותים הסוציאליים בעולם לגורמים המקצועיים בישראל.","הרווחה"
230151,"אגף למחקר, לתכנון והכשרה","האגף מסייע למטה המשרד, למפקחים וליחידות המקצועיות בקבלת החלטות מיטביות לגבי פיתוח, תכנון והפעלה של תוכניות ושירותים לאוכלוסיות המטופלות על ידי המשרד, זאת באמצעות מגוון כלים ובהם: מחקר, ניהול ידע ולמידה ארגונית, ספרייה מרכזית לעבודה סוציאלית, בית הספר המרכזי לעובדים בשירותים החברתיים, פיתוח שיטת הרף לבקרת איכות במסגרות הרווחה השונות, הפעלת קהילות ידע וירטואליות, פרסום כתב עת מקצועי ועוד.","הרווחה"
230194,"מינהל ומשק במוסדות הרווחה","התכנית התקציבית מממנת את התפעול הלוגיסטי של המעונות הממשלתיים: 9 מעונות למפגר, 9 מעונות חסות הנוער, 2 מענות שיקום ו- 5 מפתנים ממשלתיים. בנוסף, התכנית נועדה לתפעל את מערך המכרזים, פרסום במדיה ולניהול מערך הייעוץ והפיקוח על התזונה במוסדות המשרד .","הרווחה"
2306,"אגף השיקום",,"הרווחה"
230618,"שירותי אבחון","קניית שירותי איבחון ושיקום מקצועי-תעסוקתי לאנשים עם מוגבלות ממרכזי שיקום ; השתתפות בשכר עבודה של כ- 2,700 מוגבלים המועסקים על ידי חברת המשקם, ואבחון מופני הבטחת הכנסה של שירות התעסוקה.","הרווחה"
230612,"נכים במסגרות חוץ ביתיות","השירות לטיפול החוץ ביתי יוזם, מפתח ומפעיל מענים חוץ ביתיים לאנשים באוכלוסיית האגף אשר מעוניינים או זקוקים להשתלב במסגרת חוץ ביתית. המסגרות החוץ ביתיות פזורות בישובים בכל רחבי הארץ, שוכנות על פי רוב במבני מגורים ומהוות חלק אינטגרלי מהקהילה. המסגרות הטיפוליות שבאחריות השירות הן: 1. מעונות פנימייתיים המיועדים לאנשים עם נכויות פיזיות וחושיות. 2. בתים קבוצתיים לילדים עם נכויות פיזיות. 3. משפחות אומנה המטפלות בילדים ובני נוער עם מגוון נכויות המטופלים באגף השיקום. 4. מערכי דיור מוגן בקהילה הבנויים על פני רצף טיפולי על פי רמת העצמאות התפקודית של הדיירים (מנמוכה לגבוהה) וכוללים: הוסטל, דירות טיפוליות, דירות קבוצתיות, ודירות לווין. 5.תהליך השיקום כולל מעבר על פני הרצף הטיפולי בהתאם לרמת עצמאותם התפקודית. כ- 210 חניכים שוהים ב-116 מסגרות המופעלות על ידי גורמים פרטיים וציבוריים. 113 חניכים נוספים שוהים בשני מעונות ממשלתיים לנכים.","הרווחה"
"230622","טיפול קהילתי וביתי","במסגרת תכנית זו ממומנות הפעילויות הקהילתיות הבאות: 1. מעונות יום שיקומיים: על פי חוק מעונות יום שיקומיים מופעלים 85 מעונות יום שיקומיים עבור כ-1500 פעוטות בגילאי 1-3 עם מגוון של מצבי נכות ועיכוב התפתחותי. 2. שיקום מקצועי-תעסוקתי: מערך שירותי השיקום בתחום התעסוקתי פרוס בכל רחבי הארץ וכולל מרכזים לאבחון ושיקום מקצועי. 3. שיקום מבוגרים בקהילה (בגילאי 65-18): במסגרת זו ממומנים שירותים התומכים במגמה של שילוב אנשים עם נכויות בינוניות וקשות בקהילה.","הרווחה"
"230623","קרן קצבת נכות","הקרן מהווה מקור תקציבי הנגזר מהחזר חלק מקצבת נכותם של אנשים עם מוגבלות הממומנים על ידי המשרד בסידורים חוץ-ביתיים. הכספים משמשים למימון פעילות רווחה, תרבות, נופש ופנאי ושיפור איכות החיים של המושמים במוסדות.","הרווחה"
230662,"שיקום וטיפול בעיוור","אדם העונה להגדרת העיוורון זכאי לשיקם וטיפול. פעולות השירות כוללות: איתור האוכלוסייה, שירותים מיוחדים לילדים, שיקום רגשי, תפקודי, חברתי ותעסוקתי ופרסום חומרים לצורך מיצוי זכויות. בנוסף, ניתן סיוע חומרי באמצעים הבאים: 1. דמי ליווי - מענק כספי לצורך סיוע בניידות למקרים מיוחדים. 2. החזר חלקי של מיסים על ציוד ביתי חיוני. 3. החזקת כלב נחייה - סיוע בהחזקת כלב הנחייה, כלכלתו והטיפול הרפואי בו 4. מענק לסיוע במימון שיחות טלפון, והנחה של 509 בהתקנת טלפון.","הרווחה"
230680,"מעונות ממשלתיים","קיימים שני מעונות ממשלתיים לאנשים עם נכויות פיזיות קשות. עיקר תקצוב מעונות אלו, מיועד לכוח אדם ותחזוקה שוטפת של המעונות.","הרווחה"
230690,"השתתפות בשיחות טלפון לעיוורים","עיוורים ונכים זכאים לקבל השתתפות במימון שיחות טלפון קווי. עיוור זכאי להשתתפות חודשית של כ-90 שייח לצורך מימון של כ- 300 פעימות מונה ומחצית דמי אחזקה חודשיים קבועים ואילו נכה זכאי להשתתפות של כ-40 שייח לחודש לכיסוי מימון 60 פעימות מונה ומחצית דמי אחזקה חודשייים קבועים.","הרווחה"
2308,"אגף לטיפול באדם המפגר","אוכלוסיית היעד של האגף היא אנשים עם פיגור שכלי בכל הגילאים, ובכל רמות הפיגור ובכלל זה אנשים עם פיגור שכלי הסובלים ממוגבלויות נוספות. האגף מטפל באופן ישיר בכ-23,500 אנשים. אוכלוסיית היעד של האגף כוללת גם את בני משפחותיהם של המטופלים על ידי האגף.","הרווחה"
230850,"אבחון אנשים עם פיגור שכלי","המחלקה אחראית על הפעלת מערכת האבחון באמצעות שמונה מרכזי אבחון ועל הפעלת ועדות אבחון שמונו על ידי שר הרווחה על פי החוק.","הרווחה"
230871,"מעונות ממשלתיים","קיימים תשעה מעונות הממשלתיים המטפלים בכ-1800 אנשים עם פיגור שכלי. במעונות מועסקים כ- 1,100 עובדי מדינה. הפנימיות נותנות מענה לצרכי המטופלים 24 שעות ביממה והם מהווים בתים לחיים עבור החוסים.","הרווחה"
"230855","טיפול קהילתי וביתי","השירותים בקהילה מהווים סיוע למשפחה בטיפול באדם עם פיגור שכלי בבית ובקהילה הטבעית  מאפשרים טיפול במספר גדול יותר של חניכים במסגרת המשאבים הקיימים ואף מונעים או דוחים סידור מוסדי חוץ ביתי. להלן פירוט המסגרות העיקריות: 1. מעונות יום שיקומיים לפעוטות בגילאי 1-3 בעלי פיגור קשה או סיעודיים, ושילוב במעונות יום רגילים. 2. מסגרות יום לאנשים עם פיגור קל (״מעונות אימוניים״) - מסגרת חינוכית, טיפולית ושיקומית המספקת טיפול המקל על המשפחה ומונע הוצאתם של הילדים מן הבית למסגרת חוץ ביתית. 3. מסגרות יום לפיגור בינוני וקשה (טיפוליים וסיעודיים) - מסגרות טיפוליות המיועדות לילדים בעלי פיגור שכלי בינוני וקשה. המסגרות פועלות בשיתוף עם משרד החינוך. 4. מרכזי יום טיפוליים סיעודיים המיועדים לאנשים בני 21 ומעלה עם פיגור קשה ברמת תפקוד 5. טיפולי-סיעודי. 6. רצף שירותי תעסוקה: כיום פועלים ברחבי הארץ 68 מפעלי עבודה שיקומיים (מע״שים) המיועדים לאנשים בעלי פיגור שכלי בגילאי 21 ומעלה החיים בקהילה. 7. נופשונים - מסגרות חוץ ביתיות לשהות קצרת מועד. הנופשון נועד לאפשר להורים או לאפוטרופוס לצאת לחופשה ולהשאיר את האדם עם הפיגור השכלי במסגרת מקצועית. 8. מרכזי תמיכה, טיפול וסיוע בבית - מרכזי תמיכה וטיפול באדם המפגר ומשפחתו בקהילה. 9. משפחות אומנה - מסגרת המיועדת לילדים צעירים ומהווה את הדגם הקרוב ביותר למשפחה.","הרווחה"
"230856","טיפול חוץ ביתי","דיור בקהילה: מדיניות המשרד הינה כי כל אדם עם פיגור שכלי שיכול להנות משירותי קהילה יגור בקהילתו הטבעית. ישנם כ-2400 אנשים השוהים בכ-260 יחידות דיור. דיור במעונות פנימיה: תפיסת הטיפול החוץ ביתי היא כי האדם עם פיגור שכלי שזקוק לרמות תמיכה גבוהות ואינטנסיביות יותר יגור במעונות פנימיה שיכולים לספק את צורכיהם המורכבים תחת קורת גג אחת. ישנם 63 מעונות בתנאי פנימייה, מהם 9 ממשלתיים.","הרווחה"
"230880","טיפול חוץ ביתי באוטיסטים","היחידה נותנת מענה לכ-680 דיירים ב-30 מסגרות חוץ ביתיות ייעודיות לאוכלוסיה על רצף האוטיזם המופעלות על ידי עמותות וארגונים פרטיים וכן ל-10 משפחות אומנה. המעונות משמשים מסגרות לחיים ונותנים מענה לצרכים הטיפוליים, תוך הקניית מיומנויות יום יומיות, תוכניות לשיקום תעסוקתי, תוכניות לשעות פנאי ותוכניות להסתגלות חברתית נורמטיבית.","הרווחה"
"230881","טיפול קהילתי באוטיסטים","היחידה לטיפול באדם עם אוטיזם מטפלת באוכלוסיה הנמצאת על רצף האוטיזם - 0.0.?. היחידה מטפלת בכ-5,000 איש בכל הגילאים ובכל הרמות. היחידה מפעילה רצף שירותים קהילתיים הנותנים מענה לצורכי האוכלוסייה עם אוטיזם מגיל שנה וחצי ומעלה. השירותים בקהילה כוללים: 1. מעונות יום שיקומיים - 20 מעונות המתמחים בתחום הטיפול באוטיזם הנותנים מענה לכ-200 פעוטות. 2. תוכנית הילה - תוכנית בשיתוף משרדי החינוך והבריאות ליצירת רצף טיפול בין גני התקשורת 3. למשפחות הילדים, באמצעות הדרכה והעצמה של כח אדם מקצועי המגיע לבית הילד. 4. מרכזים לתמיכה במשפחה- כיום פועלים 4 מרכזים הנותנים שרותים לכ-5000 משפחות באמצעות קבוצות תמיכה, הרצאות והפעלת קו חם. 5. 19 מועדוניות הנותנות שירותים לכ-150 ילדים. 6. נופשונים המספקים למעלה 2,300 ימי נופש. 7. קייטנות לכ-250 ילדים. 8. מרכז חירום לטיפול באלימות כלפי אנשים עם צרכים מיוחדים בירושלים. 9. מרכז תעסוקה לבוגרים הסובלים מתסמונת אספרגר, בהם לוקחים חלק כ-70 משתקמים, ושילוב כ-25 בוגרים עם אוטיזם במרכזי תעסוקה. 10. מרכזי יום לכ-75 בוגרים עם אוטיזם הגרים בבית הוריהם.","הרווחה"
"2310","שירותים אישיים וחברתיים","האגף אחראי על אספקת שירותים אישיים וחברתיים המיועדים לספק את צורכיהם של בודדים, משפחות וקהילות, תוך קידום רווחת האוכלוסייה, והנזקקים בתוכה, ועל ידי כך להביאם לתרומה גדולה יותר לעצמם, למשפחתם, לסביבתם ולחברה. האגף פועל מול כלל הרשויות המקומיות ומאות מסגרות קהילתיות בתחומים השונים. במחלקות לשירותים חברתיים יותר מ-482,000 תיקים שמייצגים משפחות או בודדים המקבלים שירות כלשהו. פעולות האגף: 1. קביעת מדיניות, ייזום, ותכנון מרכזי במטרה לקדם את רווחת אוכלוסיות היעד ובהן משפחות במצוקה, מכורים לאלכוהול, דרי רחוב, ילדים ונוער בסיכון, זקנים ועולים. 2. פיקוח ובקרה. 3. ייעוץ והכוונה מקצועית ופיתוח מענים מקצועיים לבעיות המתעוררות בשטח. 4. השתתפות במימון השירותים: המשרד משתתף בפעולות ושירותים של המחלקות לשירותים חברתיים ברשויות מקומיות המאושרות ומתוקצבות בשיעור של 759.","הרווחה"
"231013","כוח אדם ברשויות המקומיות","הקצאת 4,460 תקני כוח אדם ל-255 רשויות מקומיות עבור עובדים סוציאליים, עובדים מנהליים ועובדים מסייעים במחלקות לשירותים חברתיים. התקנים מוקצים על פי אמות מידה, ומחולקים לפי נוסחה שמרכיביה קבועים והיא מתעדכנת מידי שנה על בסיס הנתונים האחרונים המתפרסמים על ידי הלשכה המרכזית לסטטיסטיקה, המוסד לביטוח לאומי ונתוני המשרד. בשנתיים האחרונות הוקצתה תוספת בהיקף של 221 תקנים לרשויות המקומיות.","הרווחה"
"231014","ארגון ומינהל ברשויות המקומיות","במסגרת תכנית זו מופעלת מערכת ארגונית בראיה מערכתית של המחלקות לשירותים חברתיים ברשויות המקומיות, אשר נועדה לאפשר מתן שירותי רווחה מיטביים לאוכלוסיות היעד שלהן בהתאם לחוקים, תקנות והוראות מנכ״ל המשרד (תע״ס), בתאום עם משרד הפנים, מרכז השלטון המקומי ומרכז המועצות האזוריות.","הרווחה"
"231025","פרט ומשפחה- צרכים מיוחדים וחירום","אוכלוסיית היעד של יחידות אלו הן פרטים ומשפחות הנתונים בסיכון, משפחות במשבר, משפחות בהן קיימים דפוסי אלימות, משפחות בסיכון שמקורו במוגבלות של אחד מבני המשפחה ודרי רחוב. פעולות האגף כוללות עובדים סוציאליים לטיפול במשפחה בלשכות לשירותים חברתיים כולל פקידי סעד לסדרי דין, מרכזים למניעה ולטיפול בבעיות אלימות במשפחה, מקלטים לנשים מוכות וילדיהן, מרכזי קשר הורים-ילדים, מסגרות לטיפול בדרי רחוב בקהילה ובסידור מוסדי, מרכזים למשפחות חד- הוריות, יחידות הסיוע ליד בתי המשפט לענייני משפחה, תחנות לייעוץ בחיי נישואין ומשפחה, הפעלת מרכזים ויחידות להפחתת נזקים ולשיקום וטיפול בזנות בישראל, הפעלת מסגרות הגנה וטיפול לקורבנות סחר, עבדות ועבודות כפייה, הפעלת מרכזי סיוע למשפחות נפגעי תאונות דרכים והפעלת מרכזי סיוע למשפחות נפגעי עבירות המתה.","הרווחה"
"231026","פרט ומשפחה- טיפול ומניעה","מתן תמיכה לכ- 250 מוסדות חינוך פנימייתיים לאחזקה שוטפת של כ-11,500 תלמידים בגילאי 12-18 השוהים בפנימייה. מוסד יקבל אישור לתמיכה, בכפוף לעמידה באמות המידה הקבועות במבחן התמיכה, עבור כל תלמיד שנמצא זכאי, בהתאם למבחן ההכנסה של משפחתו. בכל מוסד המקבל תמיכה מתקיימים לפחות שני ביקורי פיקוח בכל שנה","הרווחה"
231034,"מעונות יום ומשפחתונים","מתן תמיכה לכ- 250 מוסדות חינוך פנימייתיים לאחזקה שוטפת של כ-11,500 תלמידים בגילאי 12-18 השוהים בפנימייה. מוסד יקבל אישור לתמיכה, בכפוף לעמידה באמות המידה הקבועות במבחן התמיכה, עבור כל תלמיד שנמצא זכאי, בהתאם למבחן ההכנסה של משפחתו. בכל מוסד המקבל תמיכה מתקיימים לפחות שני ביקורי פיקוח בכל שנה","הרווחה"
231036,"סיוע לפנימיות","מתן תמיכה לכ- 250 מוסדות חינוך פנימייתיים לאחזקה שוטפת של כ-11,500 תלמידים בגילאי 12-18 השוהים בפנימייה. מוסד יקבל אישור לתמיכה, בכפוף לעמידה באמות המידה הקבועות במבחן התמיכה, עבור כל תלמיד שנמצא זכאי, בהתאם למבחן ההכנסה של משפחתו. בכל מוסד המקבל תמיכה מתקיימים לפחות שני ביקורי פיקוח בכל שנה.","הרווחה"
"231038","שירות חוץ ביתי לילד ונוער","השירות לילד ונוער מטפל בילדים עד גיל 18 הנמצאים במצבי סכנה (כגון ילדים החשופים להתעללות פיזית, נפשית או מינית). בנוסף מטפל השירות במצבי סיכון פוטנציאליים בהם יש חשש להתפתחות מצב של סכנה (כגון ילדים להורים עם פיגור שכלי או מכורים לסמים). פעולות השירות כוללות, בין היתר: 1. התכנית הלאומית לילדים ונוער בסיכון- תכנית המופעלת בכ- 60 רשויות מקומיות באשכולות הנמוכים וצפויה להגיע להיקף תקציבי של כ-155 מיליון ש״ח ביישום מלא. 2. פנימיות חוץ ביתיות ומסגרות אלטרנטיביות בקהילה.","הרווחה"
"231039","השירות לילד ונוער- טיפול קהילתי","3. מרכזי חירום עבור ילדים בסכנה מיידית. 4. משפחות אומנה - כ-1,800 ילדים מסודרים מחוץ לבתיהם בכ-1,200 משפחות אומנה. 5. טיפול מקצועי בהורים וילדיהם בקהילה.","הרווחה"
"231040","השירות לילד ולנוער - תכנון וניהול","במסגרת התכנית התקציבית מבוצעת התקשורת של הממשלה עם עמותת אשלים. עמותת אשלים היא תאגיד מיסודו של ג׳וינט ישראל, שמיועדת לקידום ופיתוח שירותים למען ילדים ובני נוער בסיכון. התקשרות הממשלה עם אשלים נעשית במסגרת מיזם משותף לצורך פיתוח והטמעת מענים במערכות השירותים החברתיים בישראל","הרווחה"
"231042","השירות לזקן- טיפול חוץ ביתי","בשנת 2008 הגיע מספר הקשישים בישראל לכ-750,000 נפש. השירות לזקן מפקח על כ-200 מעונות לזקנים בהם גרים כ-9,000 זקנים.","הרווחה"
"231043","השירות לזקן טיפול קהילתי","שירותי הרווחה מטפלים בכ-250,000 קשישים במסגרות חוץ ביתיות ובמסגרות בקהילה. השירותים הקהילתיים כוללים: מרכזי יום ומועדונים הכוללים הסעות, טיפול אישי ופעילות חברתית תעסוקתית, מסגרות לשהות קצרה להחלמה לאחר אישפוז, תכנית ״קהילות תומכות״ שנועדה להבטיח שירותים תומכים והגברת מעורבותם של הקשישים בקהילה באמצעות העצמה קהילתית של זקנים הגרים בבתיהם וטיפול אישי לזקנים המתגוררים בבתיהם.","הרווחה"
231051,"השירות למען הילד (אימוץ)","השירות אחראי לתפעול חוק אימוץ ילדים; החתמת הורים על הסכמת הורה לאימוץ, הגשת תסקירים לבית המשפט להכרזת קטינים כבני אימוץ, והגשת תסקירים לבית המשפט לצווי אימוץ. השירות מקיים טיפול פרטני בקטינים מועמדים לאימוץ ומסירתם למשפחות מאמצות, במשפחות מועמדות לאימוץ ובמשפחות המאמצות לאורך כל שנות האימוץ. בנוסף, ניתן סיוע במימון טיפולים לקטינים מאומצים בעלי צרכים מיוחדים.","הרווחה"
"231072","עבודה קהילתית","פיתוח חוסן קהילתי בקהילות גיאוגראפיות ופונקציונאליות ברמת השכונה, הישוב והרשות המקומית שנמצאות בסיכון או במצוקה זמנית או מתמשכת.","הרווחה"
"231073","תכנית לטיפול בעולים חדשים","במסגרת התכנית מופעלות תכניות קהילתיות לפתרון בעיות ייחודיות בקרב עולים, וכן פיתוח שיטות מניעה וטיפול בקבוצות גיל שונות בקרב העולים תוך רגישות וכשירות תרבותית.","הרווחה"
231081,"שיקום שכונות","התכנית נועדה לשיפור איכות השירותים החברתיים והתאמתם לצורכי התושבים, שיפור סיכויי הניעות (מוביליות) החברתית, באמצעות הרחבת הזדמנויות תעסוקה, ההכשרה וקידום המקצועי. ארבעה משרדי ממשלה שותפים בפרוייקט שיקום השכונות: משרד הבינוי והשיכון, משרד החינוך, משרד הבריאות ומשרד הרווחה. בשנת 2010 פועל הפרוייקט בכ-90 שכונות.","הרווחה"
"2311","נוער וצעירים",,"הרווחה"
231120,"מעונות ממשלתיים - חסות הנוער","חסות הנוער מפעילה רשת של 59 מסגרות חוץ ביתיות על פני שלשה מרחבים - מרחב המגן, הכולל מסגרות נעולות, מרחב הקידום, הכולל מסגרות פנימייתיות ומרחב השילוב, הכולל מסגרות פתוחות בקהילה - הוסטלים ומועדוניות. כמו כן, הרשות מספקת שירותי אבחון והתערבות במשבר ומפעילה מסגרות של קורת גג כחלופה לחיים ברחוב ומסגרות של חלופות מעצר ודירות בוגרים. מתוך 59 המסגרות, 9 הן מסגרות ממשלתיות. תקני כח האדם הממשלתי במעונות הממשלתיים עומד על 84 תקנים וכולל מנהלים, עובדים סוציאליים, מדריכים, מורים ועובדי מינהל ומשק.","הרווחה"
"231123","שירות המבחן לנוער","שירות המבחן לנוער מאבחן ומטפל בקטינים בגילאי 18-12 שהופנו על ידי המשטרה כחשודים בביצוע עבירה. מטרות השירות הן למנוע עבריינות חוזרת, לסייע למערכת אכיפת החוק בהתאמת דרכי טיפול ושיקום לקטינים אלו ומניעת התנהגות עבריינית, על פי חוק הנוער (שפיטה, ענישה ודרכי טיפול), התשל״א - 1971. כמו כן, חוקרי ילדים בשירות המבחן לנוער חוקרים ילדים עד גיל 14 המעורבים בעבירות מין (כקורבנות, עדים וחשודים), או שהיו קורבנות או עדים לאלימות חמורה של אחר. בנוסף, בתחום אחריותם חקירת אנשים עם מוגבלות שכלית.","הרווחה"
"231124","שירות המבחן למבוגרים","אוכלוסיית היעד של השירות היא בוגרים בני 18 ומעלה שנמצאו אשמים בביצוע עבירה פלילית או חשודים בביצוע עבירה פלילית או שנפגעו בעקבות עבירת מין ואלימות שבוצעה כלפיהם והופנו על ידי המערכת המשפטית. בשנת 2008 הופנו לשירות כ-20,795 אנשים חדשים לביצוע חקירה ותסקיר קצין מבחן.","הרווחה"
"231125","השירות לטיפול בהתמכרויות","השירות לטיפול בהתמכרויות פועל לפיתוח תוכניות טיפול לשיקומם האישי והחברתי של מתמכרים. פעולות השירות בתחום הטיפול מהוות חלק ממדיניות הטיפולית של השירותים החברתיים, ומשתלבות במערך השירותים המוניציפאליים והממלכתיים, עליהם אחראי המשרד. השירות פועל בשיתוף פעולה עם הרשות למלחמה בסמים, המהווה גוף מרכזי לטיפול בנושא התמכרויות בישראל. כמו כן מתקיים שתוף פעולה בין משרדי בתחומי הבריאות, החינוך ואכיפת החוק.","הרווחה"
231132,"השירות לשיקום נוער - מפתנים ממשלתיים",,"הרווחה"
231134,"השירות לשיקום נוער","השירות לשיקום נוער משמש רשת בטחון קהילתית לבני נוער במצבי סיכון, אשר המערכות הפורמאליות לא מצליחות לתת מענה לצורכיהם הרב מימדיים בתחום הרגשי, חברתי, משפחתי ולימודי. במרכז הפעילות של השירות נמצאים המפתנים והמית״רים (מרכזי היום). המפתן הינו מסגרת שיקומית טיפולית יומית הפועלת בין השעות 16.00-7.00 בתוכנית ארוכת טווח לשיקומם הכולל של בני נוער בגילאים 18- 14 אשר מערכות החינוך הפורמליות לא הצליחו לקלוט. המית״ר הוא מרכז יום תומך רב תחומי לטיפול בבני נוער מנותקים בין הגילאים 12 עד 18 הנמצאים על קצה רצף הטיפול בקהילה שנשרו ממערכות החינוך ונמצאים ללא מסגרת לימודים או תעסוקה.","הרווחה"
"231164","השירות למתבגרים, צעירים וצעירות","השירות נועד לטפל במתבגרים, צעירים וצעירות בגילאי 25-14 הנמצאים בדרגות שונות של ניתוק מהחברה ואינם מצויים בטיפול משמעותי במסגרת כלשהי. השירות כולל: 302 עובדי נוער וצעירים הפועלים בשטח ומהווים גשר אל מערכות החברה הנורמטיביות, פיתוח והפעלה של מסגרות קהילתיות, בסך הכל 168 מסגרות, פיתוח והפעלת כלים חדשניים כגון: ניידות איתור, בתי קפה טיפוליים, כלים מתחומי הספורט, האומנות ועוד, סיוע כלכלי ראשוני ובסיסי (הוצאות נסיעה, ביגוד, כלי עבודה, ספרי ואבזרי לימוד וכד׳) וטיפול בצעירים חסרי עורף משפחתי.","הרווחה"
"231165","השירות לטיפול בנערות ","קיימות מספר מסגרות לטיפול: 1. בתים חמים שהן מסגרות יומיות בקהילה הועלות בין 5-3 ימים בשבוע. מטרת הבית החם: טיפול, העשרה, קבלה ותמיכה, גישור בין תרבותי, הרגשת שייכות והעצמה. 2. תחנות ליעוץ מיני לנערות. 3. דירות מעבר ומקלטי חרום להגנה וטיפול לנערות במצבי משבר קשים. 4. מקלט לנשים נפגעות סחר - המקלט נותן מענה לנשים נפגעות סחר מיני ונותן להן טיפול סוציאלי, טיפול רפואי וסיוע משפטי. 5. טיפול בקורבנות אונס ותקיפה מינית.","הרווחה"
"231166","רשות חסות הנוער טיפול חוץ ביתי ",,"הרווחה"
231171,"רשות חסות הנוער","אוכלוסיית היעד של השירות הם מתבגרים הזקוקים לטיפול חוץ-ביתי סמכותי וכופה, המופנים על-ידי בתי המשפט לנוער, לצורך השלמה הדרגתית של התהליכים השיקומיים שיאפשרו שילובם מחדש בחברה. תהליכי הטיפול והשיקום נעשים באמצעות סידורים במעונות ממשלתיים, ציבוריים ופרטיים: פנימיות עם מרחב מוגן, קהילות טיפוליות, הוסטלים, בתים לחסרי קורת גג, חלופת מעצר ודירות בוגרים.","הרווחה"
